LSLANR;LSLORT;LSTENR;TEBEZ1;TEBEZ2;LSLGBE;TEPDIM;TEINPR;WERT;TEWKSF
F5;;MFC1847771F0A;Getriebe                LL;8W7 974 771 F;11;3;1048,15;11,5297;
F5;;MFC1847771H0B;Getriebe                LL;8W7 974 771 H;2;3;806,62;1,6132;
F5;;MFC184777100A;Getriebe                LL;8W7 974 771;1;3;320,11;0,3201;
F5;;MFC184790900B;Grundmodul              LL;8W7 974 909;52;3;626,02;32,553;
F5;;MFD140106000E;LTGS.USA                C8;4K1 970 060;1;3;16,94;0,0169;
F5;;MFD1401213C0C;LTGS.AUDIO-SYSTEM       C8;4K1 970 213 C;1;3;674,85;0,6749;
F5;;MFD140121700E;LTGS.CARDSYSTEM         C8;4K1 970 217;1;3;0;0;
F5;;MFD1441029A0E;LTGS.KLIMAANLAGE        C8;4K1 974 029 A;4;3;133,15;0,5326;
F5;;MFD1441029B0E;LTGS.KLIMAANLAGE        C8;4K1 974 029 B;6;3;276,94;1,6616;
F5;;MFD1441034AAF;LTGS.TDI                C8;4K1 974 034 AA;1;3;0;0;
F5;;MFD1441082P0B;LTGS.SBBR-LEUCHTE       C8;4K1 974 082 P;1;3;538,5;0,5385;
F5;;MFD1441128G0D;LTGS.NOTRUF             C8;4K1 974 128 G;3;3;312,66;0,938;
F5;;MFD1441128J0D;LTGS.NOTRUF             C8;4K1 974 128 J;1;3;308,58;0,3086;
F5;;MFD1441128P0B;LTGS.NOTRUF             C8;4K1 974 128 P;1;3;10468,25;10,4683;
F5;;MFD1441129E0A;LTGS.GURTWARNUNG-HINTEN C8;4K1 974 129 E;2;3;0;0;
F5;;MFD1441181A0B;LTGS.FUSSGAENGERSCHUTZ  C8;4K1 974 181 A;2;3;148,14;0,2963;
F5;;MFD144118100E;LTGS.FUSSGAENGERSCHUTZ  C8;4K1 974 181;16;3;150,66;2,4106;
F5;;MFD1441184D0E;LTGS.HECKKLAPPE         C8;4K1 974 184 D;3;3;152,52;0,4576;
F5;;MFD1441246D0D;LTGS.DAEMPFERSTEUERUNG  C8;4K1 974 246 D;2;3;14,09;0,0282;
F5;;MFD1441257A0B;LTGS.GARAGENTOROEFFNER  C8;4K1 974 257 A;6;3;238,16;1,429;
F5;;MFD1441287A0E;LTGS.RSE                C8;4K1 974 287 A;1;3;55,55;0,0556;
F5;;MFD1441295E0D;LTGS.SCHNITTSTELLE      C8;4K1 974 295 E;2;3;86,65;0,1733;
F5;;MFD144132800A;LTGS.SCHIEBETUER        C8;4K1 974 328;12;3;368,71;4,4245;
F5;;MFD1441329E0E;LTGS.NAVIGATION         C8;4K1 974 329 E;5;3;150,42;0,7521;
F5;;MFD1441412C0E;LTGS.AIRBAG             C8;4K1 974 412 C;1;3;0;0;
F5;;MFD144141500E;LTGS.SITZ (LORDOSE)     C8;4K1 974 415;3;3;18,14;0,0544;
F5;;MFD1441419C0E;LTGS.SPURWECHSEL        C8;4K1 974 419 C;3;3;27,1;0,0813;
F5;;MFD1441419F0D;LTGS.SPURWECHSEL        C8;4K1 974 419 F;1;3;143,64;0,1436;
F5;;MFD1441419H0D;LTGS.SPURWECHSEL        C8;4K1 974 419 H;1;3;122,77;0,1228;
F5;;MFD1441419K0D;LTGS.SPURWECHSEL        C8;4K1 974 419 K;1;3;143,54;0,1435;
F5;;MFD1441771D0E;LTGS.GETRIEBE           C8;4K1 974 771 D;9;3;0;0;
F5;;MFD1441909H0E;LTGS.WASCHWASSER        C8;4K1 974 909 H;2;3;686,83;1,3737;
F5;;MFD1442030H0C;LTGS.KUEHLERLUEFTER;4K2 974 030 H;1;3;0;0;
F5;;MFD1442076F0C;LTGS.LAUTSPRECHER;4K2 974 076 F;1;3;720,3;0,7203;
F5;;MFD144208100C;LTGS.WASSERPUMPE;4K2 974 081;1;3;29,43;0,0294;
F5;;MFD1442082J0C;LTGS.SBBR-LEUCHTE;4K2 974 082 J;1;3;998,7;0,9987;
F5;;MFD1442087R0C;LTGS.BENZINER           C8;4K2 974 087 R;1;3;2072,42;2,0724;
F5;;MFD1442097D0B;LTGS. GURTSCHLOSS       C8;4K2 974 097 D;4;3;0;0;
F5;;MFD1442097F0B;LTGS. GURTSCHLOSS       C8;4K2 974 097 F;2;3;0;0;
F5;;MFD1442128B0D;LTGS.NOTRUF             C8;4K2 974 128 B;1;3;872,9;0,8729;
F5;;MFD1442128F0D;LTGS.NOTRUF             C8;4K2 974 128 F;1;3;864,66;0,8647;
F5;;MFD1442184F0C;LTGS.HECKKLAPPE         C8;4K2 974 184 F;2;3;265,79;0,5316;
F5;;MFD1442217E0B;QUATTRO SPORT           C8;4K2 974 217 E;1;3;141,3;0,1413;
F5;;MFD1442230C0C;LTGS.DIAGNOSE           C8;4K2 974 230 C;1;3;0;0;
F5;;MFD144225700C;BELEUCHT.EINSTIEGSLEIST C8;4K2 974 257;1;3;215,48;0,2155;
F5;;MFD1442327G0C;LTGS.KAMERA             C8;4K2 974 327 G;1;3;2018,55;2,0186;
F5;;MFD1442329E0C;LTGS.NAVIGATION         C8;4K2 974 329 E;1;3;150,43;0,1504;
F5;;MFD1442419F0C;LTGS.SPURWECHSEL        C8;4K2 974 419 F;1;3;0;0;
F5;;MFD144290900C;LTGS.WASCHWASSER        C8;4K2 974 909;1;3;0;0;
F5;;TESTER001;MORE 1,4L 55KW 16V  TESTX;1J1 971 087 B       TEST1;1;3;0;0;
F5;;TESTER002;MORE 1,4L 55KW 16V  TESTX;1J1 971 087 B UA    TEST1;1600;4;0;0;
F5;;1AP3AM50706C0;Satzfamilie A7-Motor;VT50A7706;1;3;60,6;0,0606;
F5;;1AP3LA02038J0;Satzfamilie A7-LL;VT02A7038;7;3;402,37;2,8166;
F5;;1AP3LA02058J0;Satzfamilie A7-LL;VT02A7058;2;3;390,87;0,7817;
